snapshot_id,product_id,seller_id,snapshot_ts,stock_on_hand,reserved_stock
INV-20260425-00000001,PRD-FASHION-00000001,SEL-OVN-PRE-00000078,2026-04-25,65,6
INV-20260425-00000002,PRD-FMCG-00000002,SEL-HCM-STA-00000031,2026-04-25,166,22
INV-20260425-00000003,PRD-FASHION-00000003,SEL-HCM-STA-00000051,2026-04-25,64,4
INV-20260425-00000004,PRD-ELHA-00000004,SEL-HCM-NEW-00000055,2026-04-25,65,4
INV-20260425-00000005,PRD-FMCG-00000005,SEL-OVN-NEW-00000011,2026-04-25,176,13
INV-20260425-00000006,PRD-FMCG-00000006,SEL-HAN-PRE-00000020,2026-04-25,176,17
INV-20260425-00000007,PRD-ELHA-00000007,SEL-NTR-STA-00000034,2026-04-25,44,2
INV-20260425-00000008,PRD-FMCG-00000008,SEL-DAD-PRE-00000037,2026-04-25,183,21
INV-20260425-00000009,PRD-HOME-LIVING-00000009,SEL-HCM-STA-00000002,2026-04-25,43,3
INV-20260425-00000010,PRD-ELHA-00000010,SEL-BDG-STA-00000052,2026-04-25,55,6
INV-20260425-00000011,PRD-ELHA-00000011,SEL-HCM-STA-00000025,2026-04-25,62,7
INV-20260425-00000012,PRD-FASHION-00000012,SEL-BDG-PRE-00000026,2026-04-25,65,5
INV-20260425-00000013,PRD-ELHA-00000013,SEL-HCM-PRE-00000049,2026-04-25,56,6
INV-20260425-00000014,PRD-FMCG-00000014,SEL-HAN-STA-00000076,2026-04-25,180,13
INV-20260425-00000015,PRD-ELHA-00000015,SEL-DAD-STA-00000070,2026-04-25,63,7
INV-20260425-00000016,PRD-FMCG-00000016,SEL-HAN-PRE-00000079,2026-04-25,149,15
INV-20260425-00000017,PRD-ELHA-00000017,SEL-NTR-STA-00000034,2026-04-25,47,4
INV-20260425-00000018,PRD-FASHION-00000018,SEL-HAN-STA-00000010,2026-04-25,56,3
INV-20260425-00000019,PRD-ELHA-00000019,SEL-HAN-STA-00000018,2026-04-25,56,9
INV-20260425-00000020,PRD-ELHA-00000020,SEL-OVN-STA-00000028,2026-04-25,58,8
