event_id,event_type,event_topic,schema_version,event_timestamp,created_ts,producer,correlation_ids,payload
KEVT-CAT-PROMOTION-CREATED-20260421-0000000007,promotion_created,catalog_events,1,2026-04-21T20:40:07,2026-04-21T20:40:07,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000007', 'seller_id': None}","{'promotion_name': 'Platform Fashion Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.104}"
KEVT-CAT-PROMOTION-CREATED-20260422-0000000011,promotion_created,catalog_events,1,2026-04-22T01:40:59,2026-04-22T01:40:59,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-ELHA-00000011', 'seller_id': 'SEL-HAN-PRE-00000079'}","{'promotion_name': 'Seller ELHA Campaign', 'funding_type': 'seller', 'funding_detail': {}, 'category': 'ELHA', 'discount_rate': 0.207}"
KEVT-CAT-PROMOTION-CREATED-20260423-0000000016,promotion_created,catalog_events,1,2026-04-23T12:04:32,2026-04-23T12:04:32,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000016', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.175}"
KEVT-CAT-PROMOTION-CREATED-20260423-0000000012,promotion_created,catalog_events,1,2026-04-23T19:34:58,2026-04-23T19:34:58,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-ELHA-00000012', 'seller_id': 'SEL-OVN-STA-00000032'}","{'promotion_name': 'Seller ELHA Campaign', 'funding_type': 'seller', 'funding_detail': {'platform_share': 0.0, 'seller_share': 1.0}, 'category': 'ELHA', 'discount_rate': 0.075}"
KEVT-CAT-PROMOTION-CREATED-20260424-0000000003,promotion_created,catalog_events,1,2026-04-24T05:14:21,2026-04-24T05:14:21,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000003', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {}, 'category': 'FMCG', 'discount_rate': 0.243}"
KEVT-CAT-PROMOTION-CREATED-20260424-0000000005,promotion_created,catalog_events,1,2026-04-24T19:46:48,2026-04-24T19:46:48,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FASHION-00000005', 'seller_id': 'SEL-HCM-STA-00000024'}","{'promotion_name': 'Mixed Fashion Campaign', 'funding_type': 'mixed', 'funding_detail': {}, 'category': 'Fashion', 'discount_rate': 0.228}"
KEVT-CAT-PROMOTION-CREATED-20260424-0000000009,promotion_created,catalog_events,1,2026-04-24T20:51:38,2026-04-24T20:51:38,vina_bim_shop.synthetic_source,"{'promotion_id': 'PRM-FMCG-00000009', 'seller_id': None}","{'promotion_name': 'Platform FMCG Campaign', 'funding_type': 'platform', 'funding_detail': {'platform_share': 1.0, 'seller_share': 0.0}, 'category': 'FMCG', 'discount_rate': 0.256}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000001,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000007', 'product_id': 'PRD-ELHA-00000007', 'seller_id': 'SEL-NTR-STA-00000034'}","{'stock_on_hand': 44, 'threshold': 47.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000002,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000009', 'product_id': 'PRD-HOME-LIVING-00000009', 'seller_id': 'SEL-HCM-STA-00000002'}","{'stock_on_hand': 43, 'threshold': 47.0}"
KEVT-CAT-INVENTORY-LOW-STOCK-20260425-0000000003,inventory_low_stock,catalog_events,1,2026-04-25T00:00:00,2026-04-25T00:00:00,vina_bim_shop.synthetic_source,"{'snapshot_id': 'INV-20260425-00000017', 'product_id': 'PRD-ELHA-00000017', 'seller_id': 'SEL-NTR-STA-00000034'}","{'stock_on_hand': 47, 'threshold': 47.0}"
