event_id,event_type,event_topic,schema_version,event_timestamp,created_ts,producer,correlation_ids,payload
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001107,shipment_created,fulfillment_events,1,2026-04-26T00:24:37,2026-04-26T00:24:37,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HUE-20260426-00001107', 'order_id': 'ORD-HUI-20260426-00001107', 'customer_id': 'CUS-HUI-00000241'}","{'shipping_city': 'Hue', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001677,shipment_created,fulfillment_events,1,2026-04-26T00:32:28,2026-04-26T00:32:28,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260426-00001677', 'order_id': 'ORD-HAN-20260426-00001677', 'customer_id': 'CUS-HAN-00000166'}","{'shipping_city': 'Ha Noi', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001104,shipment_created,fulfillment_events,1,2026-04-26T00:37:25,2026-04-26T00:37:25,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260426-00001104', 'order_id': 'ORD-HAN-20260426-00001104', 'customer_id': 'CUS-HAN-00000070'}","{'shipping_city': 'Ha Noi', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001626,shipment_created,fulfillment_events,1,2026-04-26T00:42:13,2026-04-26T00:42:13,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-BIN-20260426-00001626', 'order_id': 'ORD-BDG-20260426-00001626', 'customer_id': 'CUS-BDG-00000800'}","{'shipping_city': 'Binh Duong', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000884,shipment_created,fulfillment_events,1,2026-04-26T00:55:17,2026-04-26T00:55:17,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-OTH-20260426-00000884', 'order_id': 'ORD-OVN-20260426-00000884', 'customer_id': 'CUS-OVN-00000265'}","{'shipping_city': 'Other VN', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000644,shipment_created,fulfillment_events,1,2026-04-26T01:13:36,2026-04-26T01:13:36,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HAI-20260426-00000644', 'order_id': 'ORD-HPH-20260426-00000644', 'customer_id': 'CUS-HPH-00000245'}","{'shipping_city': 'Hai Phong', 'shipping_method': 'express'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001267,shipment_created,fulfillment_events,1,2026-04-26T01:41:47,2026-04-26T01:41:47,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HO-20260426-00001267', 'order_id': 'ORD-HCM-20260426-00001267', 'customer_id': 'CUS-HCM-00000732'}","{'shipping_city': 'Ho Chi Minh City', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001504,shipment_created,fulfillment_events,1,2026-04-26T01:59:10,2026-04-26T01:59:10,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-NHA-20260426-00001504', 'order_id': 'ORD-NTR-20260426-00001504', 'customer_id': 'CUS-NTR-00000692'}","{'shipping_city': 'Nha Trang', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000131,shipment_created,fulfillment_events,1,2026-04-26T02:44:26,2026-04-26T02:44:26,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-OTH-20260426-00000131', 'order_id': 'ORD-OVN-20260426-00000131', 'customer_id': 'CUS-OVN-00000202'}","{'shipping_city': 'Other VN', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000223,shipment_created,fulfillment_events,1,2026-04-26T04:44:16,2026-04-26T04:44:16,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HAI-20260426-00000223', 'order_id': 'ORD-HPH-20260426-00000223', 'customer_id': 'CUS-HPH-00000353'}","{'shipping_city': 'Hai Phong', 'shipping_method': None}"
KEVT-FUL-SHIPMENT-BLOCKED-PAYMENT-20260426-0000000058,shipment_blocked_payment_failed,fulfillment_events,1,2026-04-26T04:57:21,2026-04-26T04:57:21,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-BIN-20260426-00001335', 'order_id': 'ORD-BDG-20260426-00001335', 'customer_id': 'CUS-BDG-00000387'}","{'block_reason': 'payment_failed', 'shipment_status': 'blocked_payment_failed'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001335,shipment_created,fulfillment_events,1,2026-04-26T04:57:21,2026-04-26T04:57:21,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-BIN-20260426-00001335', 'order_id': 'ORD-BDG-20260426-00001335', 'customer_id': 'CUS-BDG-00000387'}","{'shipping_city': 'Binh Duong', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000398,shipment_created,fulfillment_events,1,2026-04-26T05:08:37,2026-04-26T05:08:37,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HO-20260426-00000398', 'order_id': 'ORD-HCM-20260426-00000398', 'customer_id': 'CUS-HCM-00000196'}","{'shipping_city': 'Ho Chi Minh City', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000943,shipment_created,fulfillment_events,1,2026-04-26T05:17:53,2026-04-26T05:17:53,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260426-00000943', 'order_id': 'ORD-HAN-20260426-00000943', 'customer_id': 'CUS-HAN-00000670'}","{'shipping_city': 'Ha Noi', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001220,shipment_created,fulfillment_events,1,2026-04-26T06:12:08,2026-04-26T06:12:08,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-OTH-20260426-00001220', 'order_id': 'ORD-OVN-20260426-00001220', 'customer_id': 'CUS-OVN-00000320'}","{'shipping_city': 'Other VN', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000389,shipment_created,fulfillment_events,1,2026-04-26T06:34:06,2026-04-26T06:34:06,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HO-20260426-00000389', 'order_id': 'ORD-HCM-20260426-00000389', 'customer_id': 'CUS-HCM-00000052'}","{'shipping_city': 'Ho Chi Minh City', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000434,shipment_created,fulfillment_events,1,2026-04-26T06:49:44,2026-04-26T06:49:44,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HO-20260426-00000434', 'order_id': 'ORD-HCM-20260426-00000434', 'customer_id': 'CUS-HCM-00000086'}","{'shipping_city': 'Ho Chi Minh City', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000000088,shipment_created,fulfillment_events,1,2026-04-26T07:05:01,2026-04-26T07:05:01,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HA-20260426-00000088', 'order_id': 'ORD-HAN-20260426-00000088', 'customer_id': 'CUS-HAN-00000330'}","{'shipping_city': 'Ha Noi', 'shipping_method': 'pickup_point'}"
KEVT-FUL-SHIPMENT-CREATED-20260426-0000001738,shipment_created,fulfillment_events,1,2026-04-26T07:24:36,2026-04-26T07:24:36,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-CAN-20260426-00001738', 'order_id': 'ORD-CTO-20260426-00001738', 'customer_id': 'CUS-CTO-00000450'}","{'shipping_city': 'Can Tho', 'shipping_method': 'standard'}"
KEVT-FUL-SHIPMENT-BLOCKED-PAYMENT-20260426-0000000038,shipment_blocked_payment_failed,fulfillment_events,1,2026-04-26T07:48:10,2026-04-26T07:48:10,vina_bim_shop.synthetic_source,"{'shipment_id': 'SHP-HAI-20260426-00000903', 'order_id': 'ORD-HPH-20260426-00000903', 'customer_id': 'CUS-HPH-00000393'}","{'block_reason': 'payment_failed', 'shipment_status': 'blocked_payment_failed'}"
