order_item_id,order_id,product_id,seller_id,primary_category,primary_subcategory,quantity,unit_price,gross_amount,discount_amount,net_amount,promotion_id,created_ts
ITM-0000000001,ORD-HCM-20260429-00000001,PRD-FASHION-00000484,SEL-HAN-NEW-00000004,Fashion,Men's Fashion,1,360000.0,360000.0,82080.0,277920.0,PRM-FASHION-00000005,2026-04-29 08:54:30
ITM-0000000002,ORD-HCM-20260429-00000001,PRD-FASHION-00000191,SEL-HPH-NEW-00000033,Fashion,Fashion Accessories,2,151000.0,302000.0,68856.0,233144.0,PRM-FASHION-00000005,2026-04-29 08:54:30
ITM-0000000003,ORD-HUI-20260429-00000002,PRD-FMCG-00000162,SEL-HAN-STA-00000075,FMCG,Groceries,4,91000.0,364000.0,41496.0,322504.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000004,ORD-HUI-20260429-00000002,PRD-FMCG-00000139,SEL-HCM-STA-00000031,FMCG,Mom & Baby,1,34000.0,34000.0,3876.0,30124.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000005,ORD-HUI-20260429-00000002,PRD-FMCG-00000364,SEL-DNA-STA-00000058,FMCG,Mom & Baby,2,72000.0,144000.0,16416.0,127584.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000006,ORD-HUI-20260429-00000002,PRD-FMCG-00000275,SEL-HCM-STA-00000046,FMCG,Pet Care,3,106000.0,318000.0,36252.0,281748.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000007,ORD-HUI-20260429-00000002,PRD-FMCG-00000269,SEL-HCM-STA-00000002,FMCG,Health & Beauty,7,41000.0,287000.0,32718.0,254282.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000008,ORD-HUI-20260429-00000002,PRD-FMCG-00000014,SEL-HAN-STA-00000076,FMCG,Health & Beauty,6,39000.0,234000.0,26676.0,207324.0,PRM-FMCG-00000008,2026-04-29 20:32:33
ITM-0000000009,ORD-DNA-20260427-00000003,PRD-FMCG-00000358,SEL-HAN-PRE-00000060,FMCG,Mom & Baby,3,23000.0,69000.0,16767.0,52233.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000010,ORD-DNA-20260427-00000003,PRD-FMCG-00000206,SEL-HAN-STA-00000069,FMCG,Household Goods,3,27000.0,81000.0,19683.0,61317.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000011,ORD-DNA-20260427-00000003,PRD-FMCG-00000405,SEL-HAN-STA-00000018,FMCG,Pet Care,4,124000.0,496000.0,120528.0,375472.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000012,ORD-DNA-20260427-00000003,PRD-FMCG-00000032,SEL-HAN-PRE-00000022,FMCG,Groceries,2,72000.0,144000.0,34992.0,109008.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000013,ORD-DNA-20260427-00000003,PRD-FMCG-00000518,SEL-OVN-STA-00000028,FMCG,Groceries,1,212000.0,212000.0,51516.0,160484.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000014,ORD-DNA-20260427-00000003,PRD-FMCG-00000216,SEL-CTO-PRE-00000064,FMCG,Health & Beauty,2,150000.0,300000.0,72900.0,227100.0,PRM-FMCG-00000003,2026-04-27 16:24:53
ITM-0000000015,ORD-OVN-20260501-00000004,PRD-FMCG-00000349,SEL-HPH-PRE-00000059,FMCG,Health & Beauty,1,27000.0,27000.0,2538.0,24462.0,PRM-FMCG-00000014,2026-05-01 04:26:41
ITM-0000000016,ORD-OVN-20260501-00000004,PRD-FMCG-00000298,SEL-HAN-PRE-00000060,FMCG,Health & Beauty,2,295000.0,590000.0,55460.0,534540.0,PRM-FMCG-00000014,2026-05-01 04:26:41
ITM-0000000017,ORD-OVN-20260501-00000004,PRD-FMCG-00000507,SEL-BDG-PRE-00000077,FMCG,Pet Care,5,114000.0,570000.0,53580.0,516420.0,PRM-FMCG-00000014,2026-05-01 04:26:41
ITM-0000000018,ORD-HCM-20260502-00000005,PRD-FMCG-00000568,SEL-HCM-STA-00000031,FMCG,Household Goods,1,31000.0,31000.0,2914.0,28086.0,PRM-FMCG-00000014,2026-05-02 22:44:34
ITM-0000000019,ORD-HCM-20260502-00000005,PRD-FMCG-00000364,SEL-DNA-STA-00000058,FMCG,Mom & Baby,6,72000.0,432000.0,40608.0,391392.0,PRM-FMCG-00000014,2026-05-02 22:44:34
ITM-0000000020,ORD-HCM-20260502-00000005,PRD-FMCG-00000069,SEL-BDG-OFF-00000054,FMCG,Groceries,2,50000.0,100000.0,9400.0,90600.0,PRM-FMCG-00000014,2026-05-02 22:44:34
