order_id,customer_id,session_id,anonymous_id,order_timestamp,created_ts,order_date,primary_category,status,shipping_city,shipping_region,shipping_method,fulfillment_channel,promotion_id,coupon_code,item_count,order_gross_amount,order_discount_amount,order_net_amount
ORD-HCM-20260429-00000001,CUS-HCM-00000751,SES-HCM-20260429-00000001,ANON-00000751,2026-04-29 08:51:19,2026-04-29 08:54:30,2026-04-29,Fashion,paid,Ho Chi Minh City,Southeast,express,seller_fulfilled,PRM-FASHION-00000005,VBS-00000005,2,662000.0,150936.0,511064.0
ORD-HUI-20260429-00000002,CUS-HUI-00000428,SES-HUI-20260429-00000002,ANON-00000428,2026-04-29 20:31:11,2026-04-29 20:32:33,2026-04-29,FMCG,paid,Hue,Central Coast,standard,seller_fulfilled,PRM-FMCG-00000008,VBS-00000008,6,1381000.0,157434.0,1223566.0
ORD-DNA-20260427-00000003,CUS-DNA-00000327,SES-DNA-20260427-00000003,ANON-00000327,2026-04-27 16:23:29,2026-04-27 16:24:53,2026-04-27,FMCG,paid,Dong Nai,Southeast,standard,,PRM-FMCG-00000003,VBS-00000003,6,1302000.0,316386.0,985614.0
ORD-OVN-20260501-00000004,CUS-OVN-00000673,SES-OVN-20260501-00000004,ANON-00000673,2026-05-01 04:25:19,2026-05-01 04:26:41,2026-05-01,FMCG,paid,Other VN,Other,pickup_point,platform_fulfilled,PRM-FMCG-00000014,VBS-00000014,3,1187000.0,111578.0,1075422.0
ORD-HCM-20260502-00000005,CUS-HCM-00000753,SES-HCM-20260502-00000005,ANON-00000753,2026-05-02 22:43:04,2026-05-02 22:44:34,2026-05-02,FMCG,paid,Ho Chi Minh City,Southeast,standard,seller_fulfilled,PRM-FMCG-00000014,VBS-00000014,8,2034000.0,191196.0,1842804.0
ORD-BDG-20260426-00000006,CUS-BDG-00000387,SES-BDG-20260426-00000006,ANON-00000387,2026-04-26 19:31:31,2026-04-26 19:33:56,2026-04-26,ELHA,paid,Binh Duong,Southeast,standard,,,,1,22814000.0,0.0,22814000.0
ORD-HUI-20260427-00000007,CUS-HUI-00000116,SES-HUI-20260427-00000007,ANON-00000116,2026-04-27 10:32:33,2026-04-27 10:35:48,2026-04-27,Home & Living,paid,Hue,Central Coast,standard,,,,2,1092000.0,0.0,1092000.0
ORD-BDG-20260427-00000008,CUS-BDG-00000491,SES-BDG-20260427-00000008,ANON-00000491,2026-04-27 21:49:39,2026-04-27 21:52:11,2026-04-27,ELHA,paid,Binh Duong,Southeast,express,,,,2,20883000.0,0.0,20883000.0
ORD-BDG-20260501-00000009,CUS-BDG-00000597,SES-BDG-20260501-00000009,ANON-00000597,2026-05-01 21:07:54,2026-05-01 21:08:05,2026-05-01,ELHA,paid,Binh Duong,Southeast,express,seller_fulfilled,,,2,7220000.0,0.0,7220000.0
ORD-DAD-20260502-00000010,CUS-DAD-00000303,SES-DAD-20260502-00000010,ANON-00000303,2026-05-02 20:56:42,2026-05-02 20:59:07,2026-05-02,Fashion,paid,Da Nang,Central Coast,express,seller_fulfilled,,,1,535000.0,0.0,535000.0
ORD-DNA-20260428-00000011,CUS-DNA-00000602,SES-DNA-20260428-00000011,ANON-00000602,2026-04-28 08:41:47,2026-04-28 08:43:33,2026-04-28,FMCG,paid,Dong Nai,Southeast,standard,,PRM-FMCG-00000016,VBS-00000016,4,1124000.0,196700.0,927300.0
ORD-OVN-20260427-00000012,CUS-OVN-00000431,SES-OVN-20260427-00000012,ANON-00000431,2026-04-27 09:34:38,2026-04-27 09:34:59,2026-04-27,Fashion,paid,Other VN,Other,standard,,,,2,803000.0,0.0,803000.0
ORD-HCM-20260430-00000013,CUS-HCM-00000243,SES-HCM-20260430-00000013,ANON-00000243,2026-04-30 19:33:40,2026-04-30 19:35:02,2026-04-30,ELHA,paid,Ho Chi Minh City,Southeast,standard,seller_fulfilled,,,2,7241000.0,0.0,7241000.0
ORD-HAN-20260502-00000014,CUS-HAN-00000507,SES-HAN-20260502-00000014,ANON-00000507,2026-05-02 21:33:47,2026-05-02 21:37:39,2026-05-02,ELHA,paid,Ha Noi,Red River Delta,pickup_point,platform_fulfilled,,,2,13260000.0,0.0,13260000.0
ORD-HAN-20260502-00000015,CUS-HAN-00000317,SES-HAN-20260502-00000015,ANON-00000317,2026-05-02 10:32:39,2026-05-02 10:34:05,2026-05-02,FMCG,paid,Ha Noi,Red River Delta,standard,seller_fulfilled,,,4,2418000.0,0.0,2418000.0
ORD-HCM-20260429-00000016,CUS-HCM-00000633,SES-HCM-20260429-00000016,ANON-00000633,2026-04-29 15:20:30,2026-04-29 15:23:22,2026-04-29,FMCG,paid,Ho Chi Minh City,Southeast,pickup_point,seller_fulfilled,,,7,1511000.0,0.0,1511000.0
ORD-HUI-20260501-00000017,CUS-HUI-00000003,SES-HUI-20260501-00000017,ANON-00000003,2026-05-01 09:43:43,2026-05-01 09:44:34,2026-05-01,Home & Living,paid,Hue,Central Coast,standard,platform_fulfilled,,,1,462000.0,0.0,462000.0
ORD-HAN-20260502-00000018,CUS-HAN-00000660,SES-HAN-20260502-00000018,ANON-00000660,2026-05-02 15:14:57,2026-05-02 15:18:29,2026-05-02,Home & Living,paid,Ha Noi,Red River Delta,same_day,platform_fulfilled,,,2,1574000.0,0.0,1574000.0
ORD-HPH-20260501-00000019,CUS-HPH-00000247,SES-HPH-20260501-00000019,ANON-00000247,2026-05-01 18:38:29,2026-05-01 18:41:45,2026-05-01,FMCG,paid,Hai Phong,Red River Delta,standard,seller_fulfilled,,,5,1280000.0,0.0,1280000.0
ORD-HCM-20260429-00000020,CUS-HCM-00000769,SES-HCM-20260429-00000020,ANON-00000769,2026-04-29 01:30:13,2026-04-29 01:30:55,2026-04-29,FMCG,paid,Ho Chi Minh City,Southeast,express,cross_dock,,,8,4035000.0,0.0,4035000.0
