product_id,category,subcategory,is_primary,assigned_ts
PRD-FASHION-00000001,Fashion,Women's Fashion,True,2026-04-25 23:59:00
PRD-FMCG-00000002,FMCG,Mom & Baby,True,2026-04-25 23:59:00
PRD-FASHION-00000003,Fashion,Men's Fashion,True,2026-04-25 23:59:00
PRD-ELHA-00000004,ELHA,Home Appliances,True,2026-04-25 23:59:00
PRD-FMCG-00000005,FMCG,Pet Care,True,2026-04-25 23:59:00
PRD-FMCG-00000006,FMCG,Groceries,True,2026-04-25 23:59:00
PRD-ELHA-00000007,ELHA,TVs & Audio,True,2026-04-25 23:59:00
PRD-FMCG-00000008,FMCG,Household Goods,True,2026-04-25 23:59:00
PRD-HOME-LIVING-00000009,Home & Living,Furniture,True,2026-04-25 23:59:00
PRD-ELHA-00000010,ELHA,Mobile & Gadgets,True,2026-04-25 23:59:00
PRD-ELHA-00000010,ELHA,Computers & Accessories,False,2026-04-29 23:59:00
PRD-ELHA-00000011,ELHA,Smart Devices & Cameras,True,2026-04-25 23:59:00
PRD-FASHION-00000012,Fashion,Fashion Accessories,True,2026-04-25 23:59:00
PRD-ELHA-00000013,ELHA,Computers & Accessories,True,2026-04-25 23:59:00
PRD-FMCG-00000014,FMCG,Health & Beauty,True,2026-04-25 23:59:00
PRD-FMCG-00000014,FMCG,Mom & Baby,False,2026-04-27 23:59:00
PRD-ELHA-00000015,ELHA,Mobile & Gadgets,True,2026-04-25 23:59:00
PRD-FMCG-00000016,FMCG,Groceries,True,2026-04-25 23:59:00
PRD-ELHA-00000017,ELHA,Mobile & Gadgets,True,2026-04-25 23:59:00
PRD-FASHION-00000018,Fashion,Women's Fashion,True,2026-04-25 23:59:00
