promotion_id,promotion_name,funding_type,funding_detail,seller_id,category,discount_rate,promotion_start_ts,promotion_end_ts,created_ts
PRM-ELHA-00000001,Seller ELHA Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-OVN-STA-00000028,ELHA,0.242,2026-04-30 12:55:09,2026-05-11 12:55:09,2026-04-27 12:55:09
PRM-ELHA-00000002,Seller ELHA Campaign,seller,,SEL-HAN-PRE-00000022,ELHA,0.156,2026-04-27 23:17:44,2026-05-10 23:17:44,2026-04-26 23:17:44
PRM-FMCG-00000003,Platform FMCG Campaign,platform,,,FMCG,0.243,2026-04-26 05:14:21,2026-04-29 05:14:21,2026-04-24 05:14:21
PRM-FMCG-00000004,Seller FMCG Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-HCM-NEW-00000074,FMCG,0.162,2026-04-30 16:02:08,2026-05-03 16:02:08,2026-04-27 16:02:08
PRM-FASHION-00000005,Mixed Fashion Campaign,mixed,,SEL-HCM-STA-00000024,Fashion,0.228,2026-04-27 19:46:48,2026-05-04 19:46:48,2026-04-24 19:46:48
PRM-ELHA-00000006,Seller ELHA Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-BDG-STA-00000068,ELHA,0.213,2026-04-29 11:58:38,2026-05-04 11:58:38,2026-04-26 11:58:38
PRM-FASHION-00000007,Platform Fashion Campaign,platform,,,Fashion,0.104,2026-04-27 20:40:07,2026-05-05 20:40:07,2026-04-21 20:40:07
PRM-FMCG-00000008,Seller FMCG Campaign,seller,,SEL-BDG-STA-00000052,FMCG,0.114,2026-04-28 10:21:42,2026-05-03 10:21:42,2026-04-26 10:21:42
PRM-FMCG-00000009,Platform FMCG Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,FMCG,0.256,2026-04-29 20:51:38,2026-05-10 20:51:38,2026-04-24 20:51:38
PRM-ELHA-00000010,Seller ELHA Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-DNA-PRE-00000021,ELHA,0.095,2026-04-29 15:14:59,2026-05-11 15:14:59,2026-04-26 15:14:59
PRM-ELHA-00000011,Seller ELHA Campaign,seller,,SEL-HAN-PRE-00000079,ELHA,0.207,2026-04-28 01:40:59,2026-05-03 01:40:59,2026-04-22 01:40:59
PRM-ELHA-00000012,Seller ELHA Campaign,seller,"{""platform_share"": 0.0, ""seller_share"": 1.0}",SEL-OVN-STA-00000032,ELHA,0.075,2026-04-29 19:34:58,2026-05-10 19:34:58,2026-04-23 19:34:58
PRM-FMCG-00000013,Platform FMCG Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,FMCG,0.221,2026-04-30 16:50:53,2026-05-03 16:50:53,2026-04-25 16:50:53
PRM-FMCG-00000014,Platform FMCG Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,FMCG,0.094,2026-04-30 05:57:47,2026-05-11 05:57:47,2026-04-25 05:57:47
PRM-FASHION-00000015,Platform Fashion Campaign,platform,"{""platform_share"": 1.0, ""seller_share"": 0.0}",,Fashion,0.183,2026-04-29 16:20:40,2026-05-09 16:20:40,2026-04-25 16:20:40
PRM-FMCG-00000016,Platform FMCG Campaign,platform,,,FMCG,0.175,2026-04-27 12:04:32,2026-05-07 12:04:32,2026-04-23 12:04:32
