seller_id,seller_name,seller_tier,primary_category,city,region,seller_rating,fulfillment_speed_days,inventory_reliability,price_band,is_official_store,created_ts
SEL-OVN-STA-00000001,Seller 00001,standard,ELHA,Other VN,Other,4.01,3.99,0.82,value,False,2025-05-07 23:59:00
SEL-HCM-STA-00000002,Seller 00002,standard,ELHA,Ho Chi Minh City,Southeast,4.21,4.29,0.898,value,False,2025-09-03 23:59:00
SEL-HPH-PRE-00000003,Seller 00003,preferred,ELHA,Hai Phong,Red River Delta,4.44,1.83,0.872,mid,False,2024-11-19 23:59:00
SEL-HAN-NEW-00000004,Seller 00004,new_seller,FMCG,Ha Noi,Red River Delta,3.78,4.16,0.735,budget,False,2025-12-15 23:59:00
SEL-HAN-PRE-00000005,Seller 00005,preferred,FMCG,Ha Noi,Red River Delta,4.4,2.35,0.937,mid,False,2026-03-23 23:59:00
SEL-HAN-PRE-00000006,Seller 00006,preferred,ELHA,Ha Noi,Red River Delta,4.25,2.06,0.914,mid,False,2025-03-15 23:59:00
SEL-HAN-STA-00000007,Seller 00007,standard,Home & Living,Ha Noi,Red River Delta,4.07,4.12,0.868,value,False,2025-05-02 23:59:00
SEL-CTO-STA-00000008,Seller 00008,standard,FMCG,Can Tho,Mekong Delta,3.84,3.41,0.879,value,False,2025-11-25 23:59:00
SEL-OVN-PRE-00000009,Seller 00009,preferred,FMCG,Other VN,Other,4.43,1.79,0.982,mid,False,2025-01-10 23:59:00
SEL-HAN-STA-00000010,Seller 00010,standard,Fashion,Ha Noi,Red River Delta,3.93,3.53,0.867,value,False,2026-01-15 23:59:00
SEL-OVN-NEW-00000011,Seller 00011,new_seller,Home & Living,Other VN,Other,3.95,5.35,0.78,budget,False,2025-11-30 23:59:00
SEL-CTO-STA-00000012,Seller 00012,standard,ELHA,Can Tho,Mekong Delta,4.01,3.75,0.838,value,False,2026-01-19 23:59:00
SEL-HPH-STA-00000013,Seller 00013,standard,FMCG,Hai Phong,Red River Delta,4.13,2.55,0.824,value,False,2026-01-03 23:59:00
SEL-HCM-PRE-00000014,Seller 00014,preferred,Fashion,Ho Chi Minh City,Southeast,4.46,2.58,0.86,mid,False,2025-03-24 23:59:00
SEL-HCM-PRE-00000015,Seller 00015,preferred,ELHA,Ho Chi Minh City,Southeast,4.53,1.99,0.965,mid,False,2025-04-06 23:59:00
SEL-HUI-STA-00000016,Seller 00016,standard,Fashion,Hue,Central Coast,4.04,2.64,0.863,value,False,2025-05-08 23:59:00
SEL-HPH-OFF-00000017,Seller 00017,official,FMCG,Hai Phong,Red River Delta,4.6,2.43,0.97,premium,True,2025-01-14 23:59:00
SEL-HAN-STA-00000018,Seller 00018,standard,FMCG,Ha Noi,Red River Delta,4.08,3.5,0.825,value,False,2026-03-05 23:59:00
SEL-HUI-PRE-00000019,Seller 00019,preferred,FMCG,Hue,Central Coast,4.24,2.6,0.882,mid,False,2025-05-20 23:59:00
SEL-HAN-PRE-00000020,Seller 00020,preferred,Fashion,Ha Noi,Red River Delta,4.27,2.82,0.938,mid,False,2026-02-09 23:59:00
