shipment_id,order_id,customer_id,shipping_city,shipping_region,shipping_method,shipment_status,handoff_ts,estimated_delivery_ts,created_ts
SHP-HO-20260429-00000001,ORD-HCM-20260429-00000001,CUS-HCM-00000751,Ho Chi Minh City,Southeast,express,delivered,2026-04-30 01:51:19,2026-05-04 01:51:19,2026-04-29 08:59:36
SHP-HUE-20260429-00000002,ORD-HUI-20260429-00000002,CUS-HUI-00000428,Hue,Central Coast,standard,delivered,2026-05-01 19:31:11,2026-05-02 19:31:11,2026-04-29 20:35:14
SHP-DON-20260427-00000003,ORD-DNA-20260427-00000003,CUS-DNA-00000327,Dong Nai,Southeast,standard,delivered,2026-04-29 03:23:29,2026-05-02 03:23:29,2026-04-27 16:31:03
SHP-OTH-20260501-00000004,ORD-OVN-20260501-00000004,CUS-OVN-00000673,Other VN,Other,pickup_point,delivered,2026-05-02 13:25:19,2026-05-03 13:25:19,2026-05-01 04:34:09
SHP-HO-20260502-00000005,ORD-HCM-20260502-00000005,CUS-HCM-00000753,Ho Chi Minh City,Southeast,standard,delivered,2026-05-04 03:43:04,2026-05-07 03:43:04,2026-05-02 22:45:07
SHP-BIN-20260426-00000006,ORD-BDG-20260426-00000006,CUS-BDG-00000387,Binh Duong,Southeast,standard,delivered,2026-04-28 13:31:31,2026-04-30 13:31:31,2026-04-26 19:39:09
SHP-HUE-20260427-00000007,ORD-HUI-20260427-00000007,CUS-HUI-00000116,Hue,Central Coast,standard,delivered,2026-04-28 12:32:33,2026-04-30 12:32:33,2026-04-27 10:37:34
SHP-BIN-20260427-00000008,ORD-BDG-20260427-00000008,CUS-BDG-00000491,Binh Duong,Southeast,express,delivered,2026-04-29 21:49:39,2026-05-02 21:49:39,2026-04-27 21:59:09
SHP-BIN-20260501-00000009,ORD-BDG-20260501-00000009,CUS-BDG-00000597,Binh Duong,Southeast,express,delivered,2026-05-04 00:07:54,2026-05-05 00:07:54,2026-05-01 21:17:04
SHP-DA-20260502-00000010,ORD-DAD-20260502-00000010,CUS-DAD-00000303,Da Nang,Central Coast,express,delivered,2026-05-05 09:56:42,2026-05-06 09:56:42,2026-05-02 21:02:04
SHP-DON-20260428-00000011,ORD-DNA-20260428-00000011,CUS-DNA-00000602,Dong Nai,Southeast,standard,delivered,2026-04-30 02:41:47,2026-05-04 02:41:47,2026-04-28 08:48:26
SHP-OTH-20260427-00000012,ORD-OVN-20260427-00000012,CUS-OVN-00000431,Other VN,Other,standard,delivered,2026-04-29 11:34:38,2026-05-03 11:34:38,2026-04-27 09:41:57
SHP-HO-20260430-00000013,ORD-HCM-20260430-00000013,CUS-HCM-00000243,Ho Chi Minh City,Southeast,standard,delayed,2026-05-01 08:33:40,2026-05-04 08:33:40,2026-04-30 19:36:57
SHP-HA-20260502-00000014,ORD-HAN-20260502-00000014,CUS-HAN-00000507,Ha Noi,Red River Delta,pickup_point,delivered,2026-05-04 23:33:47,2026-05-06 23:33:47,2026-05-02 21:37:41
SHP-HA-20260502-00000015,ORD-HAN-20260502-00000015,CUS-HAN-00000317,Ha Noi,Red River Delta,standard,delivered,2026-05-04 02:32:39,2026-05-06 02:32:39,2026-05-02 10:39:51
SHP-HO-20260429-00000016,ORD-HCM-20260429-00000016,CUS-HCM-00000633,Ho Chi Minh City,Southeast,pickup_point,delivered,2026-05-02 13:20:30,2026-05-06 13:20:30,2026-04-29 15:24:41
SHP-HUE-20260501-00000017,ORD-HUI-20260501-00000017,CUS-HUI-00000003,Hue,Central Coast,standard,delivered,2026-05-03 13:43:43,2026-05-07 13:43:43,2026-05-01 09:45:22
SHP-HA-20260502-00000018,ORD-HAN-20260502-00000018,CUS-HAN-00000660,Ha Noi,Red River Delta,same_day,delivered,2026-05-03 07:14:57,2026-05-05 07:14:57,2026-05-02 15:17:13
SHP-HAI-20260501-00000019,ORD-HPH-20260501-00000019,CUS-HPH-00000247,Hai Phong,Red River Delta,standard,delivered,2026-05-04 00:38:29,2026-05-06 00:38:29,2026-05-01 18:42:07
SHP-HO-20260429-00000020,ORD-HCM-20260429-00000020,CUS-HCM-00000769,Ho Chi Minh City,Southeast,express,delivered,2026-05-01 08:30:13,2026-05-04 08:30:13,2026-04-29 01:36:13
