session_id,anonymous_id,device_type,source,order_id,quantity,price,primary_category,event_type,event_timestamp,customer_id,product_id,payload,event_date,event_hour,is_burst_window,device_os,app_version,event_id,created_ts,is_late_arrival
SES-HUI-20260426-00001107,ANON-00000241,app_ios,web,,,,Fashion,view,2026-04-25 22:53:05,CUS-HUI-00000241,PRD-FASHION-00000294,"{""surface"":""search_or_feed""}",2026-04-25,22,False,,,EVT-VIE-20260425-00000001,2026-04-25 22:53:05,False
SES-BDG-20260426-00001626,ANON-00000800,app_android,app,,,,Fashion,view,2026-04-25 23:08:25,,PRD-FASHION-00000171,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000002,2026-04-25 23:08:25,False
SES-HAN-20260426-00001677,ANON-00000166,app_android,app,,,,FMCG,view,2026-04-25 23:10:13,CUS-HAN-00000166,PRD-FMCG-00000541,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000003,2026-04-25 23:10:13,False
SES-HAN-20260426-00001104,ANON-00000070,app_ios,app,,,,Fashion,view,2026-04-25 23:11:20,,PRD-FASHION-00000564,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000004,2026-04-25 23:11:20,False
SES-HAN-20260426-00001677,ANON-00000166,app_android,app,,,,FMCG,view,2026-04-25 23:17:22,CUS-HAN-00000166,PRD-FMCG-00000142,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000005,2026-04-25 23:17:22,False
SES-BDG-20260426-00001626,ANON-00000800,app_android,app,,,,Fashion,view,2026-04-25 23:17:59,CUS-BDG-00000800,PRD-FASHION-00000398,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000006,2026-04-25 23:17:59,False
SES-HUI-20260426-00001107,ANON-00000241,app_ios,web,,,,Fashion,view,2026-04-25 23:23:39,CUS-HUI-00000241,PRD-FASHION-00000481,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000007,2026-04-25 23:23:39,False
SES-HUI-20260426-00001107,ANON-00000241,app_ios,web,,,,Fashion,view,2026-04-25 23:24:48,CUS-HUI-00000241,PRD-FASHION-00000481,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000008,2026-04-25 23:24:48,False
SES-HAN-20260426-00001677,ANON-00000166,app_android,app,,,,FMCG,view,2026-04-25 23:24:56,CUS-HAN-00000166,PRD-FMCG-00000570,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000009,2026-04-25 23:24:56,False
SES-HUI-20260426-00001107,ANON-00000241,app_ios,web,,,,Fashion,view,2026-04-25 23:26:22,CUS-HUI-00000241,PRD-FASHION-00000199,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000010,2026-04-25 23:26:22,False
SES-OVN-20260426-00000884,ANON-00000265,app_android,app,,,,FMCG,view,2026-04-25 23:28:15,CUS-OVN-00000265,PRD-FMCG-00000298,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000011,2026-04-25 23:28:15,False
SES-HAN-20260426-00001104,ANON-00000070,app_ios,app,,,,Fashion,view,2026-04-25 23:30:37,CUS-HAN-00000070,PRD-FASHION-00000323,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000012,2026-04-25 23:30:37,False
SES-HAN-20260426-00001677,ANON-00000166,app_android,app,,,,FMCG,view,2026-04-25 23:44:39,CUS-HAN-00000166,PRD-FMCG-00000100,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000013,2026-04-25 23:44:39,False
SES-BDG-20260426-00001626,ANON-00000800,app_android,app,,,,Fashion,view,2026-04-25 23:50:42,CUS-BDG-00000800,PRD-FASHION-00000240,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000014,2026-04-25 23:50:42,False
SES-OVN-20260426-00000884,ANON-00000265,app_android,app,,,,FMCG,view,2026-04-25 23:51:58,CUS-OVN-00000265,PRD-FMCG-00000395,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000015,2026-04-25 23:51:58,False
SES-HAN-20260426-00001104,ANON-00000070,app_ios,app,,,,Fashion,view,2026-04-25 23:53:11,CUS-HAN-00000070,PRD-FASHION-00000594,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000016,2026-04-25 23:53:11,False
SES-BDG-20260426-00001626,ANON-00000800,app_android,app,,,,Fashion,view,2026-04-25 23:56:33,CUS-BDG-00000800,PRD-FASHION-00000115,"{""surface"":""search_or_feed""}",2026-04-25,23,False,,,EVT-VIE-20260425-00000017,2026-04-25 23:56:33,False
SES-HUI-20260426-00001107,ANON-00000241,app_ios,web,,,,Fashion,add_to_cart,2026-04-25 23:59:48,CUS-HUI-00000241,PRD-FASHION-00000481,"{""cart_action"":""add""}",2026-04-25,23,False,,,EVT-ADD-20260425-00000018,2026-04-25 23:59:48,False
SES-HAN-20260426-00001677,ANON-00000166,app_android,app,,,,FMCG,add_to_cart,2026-04-26 00:01:22,CUS-HAN-00000166,PRD-FMCG-00000142,"{""cart_action"":""add""}",2026-04-26,0,False,,,EVT-ADD-20260426-00000019,2026-04-26 00:01:22,False
SES-BDG-20260426-00001626,ANON-00000800,app_android,app,,,,Fashion,view,2026-04-26 00:02:16,CUS-BDG-00000800,PRD-FASHION-00000115,"{""surface"":""search_or_feed""}",2026-04-26,0,False,,,EVT-VIE-20260426-00000020,2026-04-26 00:02:16,False
