model_name,schema,materialized,status,execution_time_seconds
raw_bad_events,bronze,view,success,0.14
raw_bad_snapshots,bronze,view,success,0.054
raw_customers,bronze,view,success,0.069
raw_inventory_snapshots,bronze,view,success,0.059
raw_kafka_catalog_events,bronze,view,success,0.244
raw_kafka_commerce_events,bronze,view,success,0.261
raw_kafka_fulfillment_events,bronze,view,success,0.216
raw_kafka_ops_events,bronze,view,success,0.046
raw_order_items,bronze,view,success,0.047
raw_orders,bronze,view,success,0.044
raw_payments,bronze,view,success,0.043
raw_product_category_map,bronze,view,success,0.046
raw_products,bronze,view,success,0.04
raw_promotions,bronze,view,success,0.04
raw_sellers,bronze,view,success,0.044
raw_shipments,bronze,view,success,0.041
agg_hourly_reconciled_kpi,gold,table,success,0.772
bridge_product_category,gold,table,success,0.138
dim_category,gold,table,success,0.094
dim_customer,gold,table,success,0.259
dim_date,gold,table,success,0.207
dim_order_status,gold,table,success,0.069
dim_payment_method,gold,table,success,0.075
dim_product,gold,table,success,0.254
dim_promotion,gold,table,success,0.085
dim_seller,gold,table,success,0.081
dim_shipment_status,gold,table,success,0.083
dim_shipping_method,gold,table,success,0.083
fact_inventory_snapshot,gold,table,success,1.438
fact_order,gold,table,success,1.217
fact_order_item,gold,table,success,5.222
fact_payment_attempt,gold,table,success,1.354
fact_promotion_application,gold,table,success,1.59
fact_shipment,gold,table,success,1.493
feat_customer_90d,gold,table,success,0.162
feat_customer_unified,gold,table,success,0.404
feat_stream_60m,gold,table,success,2.554
obt_order_performance,gold,table,success,1.077
stg_catalog_events,silver,view,success,0.206
stg_commerce_events,silver,view,success,0.252
stg_customers,silver,view,success,0.052
stg_fulfillment_events,silver,view,success,0.213
stg_inventory_snapshots,silver,view,success,0.047
stg_ops_events,silver,view,success,0.049
stg_order_items,silver,view,success,0.044
stg_orders,silver,view,success,0.047
stg_payments,silver,view,success,0.049
stg_product_category_map,silver,view,success,0.046
stg_products,silver,view,success,0.05
stg_promotions,silver,view,success,0.048
stg_sellers,silver,view,success,0.048
stg_shipments,silver,view,success,0.057
