layer,table_name,row_count,source
bronze,raw_customers,800,generator_parquet
bronze,raw_orders,1800,generator_parquet
bronze,raw_order_items,6891,generator_parquet
bronze,raw_shipments,1800,generator_parquet
bronze,raw_payments,1800,generator_parquet
bronze,raw_products,600,generator_parquet
bronze,raw_sellers,80,generator_parquet
bronze,raw_promotions,16,generator_parquet
bronze,raw_product_category_map,729,generator_parquet
bronze,raw_inventory_snapshots,1200,generator_parquet
bronze,commerce_events,17856,kafka_jsonl
bronze,catalog_events,6107,kafka_jsonl
bronze,fulfillment_events,1773,kafka_jsonl
bronze,ops_events,8,kafka_jsonl
bronze,dead_letter_events,4,kafka_jsonl
gold,fact_order,1800,trino/spark_iceberg
gold,fact_order_item,6891,trino/spark_iceberg
gold,dim_customer,800,trino/spark_iceberg
gold,dim_product,600,trino/spark_iceberg
gold,dim_seller,80,trino/spark_iceberg
gold,dim_promotion,16,trino/spark_iceberg
gold,dim_date,1440,trino/spark_iceberg
gold,fact_shipment,1800,trino/spark_iceberg
gold,fact_payment_attempt,1800,trino/spark_iceberg
gold,fact_inventory_snapshot,1200,trino/spark_iceberg
gold,fact_promotion_application,6891,trino/spark_iceberg
gold,obt_order_performance,1800,trino/spark_iceberg
gold,agg_hourly_reconciled_kpi,TBD,trino/spark_iceberg
gold,feat_customer_90d,800,trino/spark_iceberg
gold,feat_customer_unified,800,trino/spark_iceberg
gold,feat_stream_60m,TBD,trino/spark_iceberg
gold,bridge_product_category,729,trino/spark_iceberg
gold,dim_category,729,trino/spark_iceberg
gold,dim_order_status,2,trino/spark_iceberg
gold,dim_payment_method,4,trino/spark_iceberg
gold,dim_shipment_status,3,trino/spark_iceberg
gold,dim_shipping_method,3,trino/spark_iceberg
dbt,dim_customer,800,dbt_duckdb_parity
dbt,fact_order,1800,dbt_duckdb_parity
dbt,parity_result,119/119_PASS,dbt_duckdb_parity
